episode_name,dialogue,person_scene
Series 01 Episode 01 – Pilot Episode, A corridor at a sperm bank.,Scene
Series 01 Episode 01 – Pilot Episode," So if a photon is directed through a plane with two slits in it and either slit is observed it will not go through both slits. If it’s unobserved it will, however, if it’s observed after it’s left the plane but before it hits its target, it will not have gone through both slits.",Sheldon
Series 01 Episode 01 – Pilot Episode," Agreed, what’s your point?",Leonard
Series 01 Episode 01 – Pilot Episode," There’s no point, I just think it’s a good idea for a tee-shirt. ",Sheldon
Series 01 Episode 01 – Pilot Episode, Excuse me?,Leonard
Series 01 Episode 01 – Pilot Episode, Hang on. ,Receptionist
Series 01 Episode 01 – Pilot Episode," One across is Aegean, eight down is Nabakov, twenty-six across is MCM, fourteen down is… move your finger… phylum, which makes fourteen across Port-au-Prince. See, Papa Doc’s capital idea, that’s Port-au-Prince. Haiti. ",Leonard
Series 01 Episode 01 – Pilot Episode, Can I help you?,Receptionist
Series 01 Episode 01 – Pilot Episode," Yes. Um, is this the High IQ sperm bank?",Leonard
Series 01 Episode 01 – Pilot Episode," If you have to ask, maybe you shouldn’t be here.",Receptionist
Series 01 Episode 01 – Pilot Episode, I think this is the place.,Sheldon
Series 01 Episode 01 – Pilot Episode, Fill these out.,Receptionist
Series 01 Episode 01 – Pilot Episode, Thank-you. We’ll be right back.,Leonard
Series 01 Episode 01 – Pilot Episode," Oh, take your time. I’ll just finish my crossword puzzle. Oh wait.",Receptionist
Series 01 Episode 01 – Pilot Episode," Leonard, I don’t think I can do this.",Sheldon
Series 01 Episode 01 – Pilot Episode," What, are you kidding? You’re a semi-pro. ",Leonard
Series 01 Episode 01 – Pilot Episode," No. We are committing genetic fraud. There’s no guarantee that our sperm is going to generate high IQ offspring, think about that. I have a sister with the same basic DNA mix who hostesses at Fuddruckers.",Sheldon
Series 01 Episode 01 – Pilot Episode," Sheldon, this was your idea. A little extra money to get fractional T1 bandwidth in the apartment.",Leonard
Series 01 Episode 01 – Pilot Episode," I know, and I do yearn for faster downloads, but there’s some poor woman is going to pin her hopes on my sperm, what if she winds up with a toddler who doesn’t know if he should use an integral or a differential to solve the area under a curve.",Sheldon
Series 01 Episode 01 – Pilot Episode, I’m sure she’ll still love him.,Leonard
Series 01 Episode 01 – Pilot Episode, I wouldn’t.,Sheldon
Series 01 Episode 01 – Pilot Episode," Well, what do you want to do?",Leonard
Series 01 Episode 01 – Pilot Episode, I want to leave.,Sheldon
Series 01 Episode 01 – Pilot Episode, Okay.,Leonard
Series 01 Episode 01 – Pilot Episode, What’s the protocol for leaving?,Sheldon
Series 01 Episode 01 – Pilot Episode," I don’t know, I’ve never reneged on a proffer of sperm before.",Leonard
Series 01 Episode 01 – Pilot Episode, Let’s try just walking out.,Sheldon
Series 01 Episode 01 – Pilot Episode, Okay.,Leonard
Series 01 Episode 01 – Pilot Episode, Bye-bye,Sheldon
Series 01 Episode 01 – Pilot Episode, See you.,Leonard
Series 01 Episode 01 – Pilot Episode, The stairs of the apartment building.,Scene
Series 01 Episode 01 – Pilot Episode, Are you still mad about the sperm bank?,Sheldon
Series 01 Episode 01 – Pilot Episode, No.,Leonard
Series 01 Episode 01 – Pilot Episode, You want to hear an interesting thing about stairs?,Sheldon
Series 01 Episode 01 – Pilot Episode, Not really.,Leonard
Series 01 Episode 01 – Pilot Episode," If the height of a single step is off by as little as two millimetres, most people will trip.",Sheldon
Series 01 Episode 01 – Pilot Episode, I don’t care. Two millimetres? That doesn’t seem right.,Leonard
Series 01 Episode 01 – Pilot Episode," No, it’s true, I did a series of experiments when I was twelve, my father broke his clavicle.",Sheldon
Series 01 Episode 01 – Pilot Episode, Is that why they sent you to boarding school?,Leonard
Series 01 Episode 01 – Pilot Episode," No, that was the result of my work with lasers.",Sheldon
Series 01 Episode 01 – Pilot Episode, New neighbour?,Leonard
Series 01 Episode 01 – Pilot Episode, Evidently.,Sheldon
Series 01 Episode 01 – Pilot Episode, Significant improvement over the old neighbour.,Leonard
Series 01 Episode 01 – Pilot Episode," Two hundred pound transvestite with a skin condition, yes she is.",Sheldon
Series 01 Episode 01 – Pilot Episode," Oh, hi!",Penny
